,articles,target_summaries,predicted_summaries
0,"दिल्ली में सुप्रीम कोर्ट के डीज़ल टैक्सियों को बंद करने के फैसले के बाद हजारों टैक्सी ड्राइवरों की रोजी रोटी पर तो असर पड़ा ही है, लेकिन अब दिल्ली पर एक और नई मुसीबत आ गई है. चुनाव आयोग राजधानी के 13 वार्ड में उपचुनाव करवा रहा है, लेकिन चुनावों से दो हफ्ते पहले चुनाव आयोग में कामकाज ठप्प हो गया है.
कमीशन ने किराए पर ली थी डीजल गाड़ियां

दरअसल कमीशन ने लगभग सौ गाड़ियां चुनाव के कामकाज को करने के लिए किराए पर लीं, जिनमें सभी
डीज़ल से चलने वाली टैक्सी
थी. इन्हीं टैक्सियों से चुनाव अधिकारी से लेकर चुनावों का जिम्मा संभालने वाले बाकी कर्मचारी भी एक जगह से दूसरी जगह आते जाते थे. अचानक चुनावों से ठीक पहले आई इस परेशानी ने दिल्ली चुनाव आयोग का कामकाज ही ठप्प कर दिया है.

रियायत के लिए की जा सकती है मांग

दिल्ली के राज्य चुनाव अधिकारी राकेश मेहता ने इस मुश्किल का रास्ता निकालने के लिए मंगलवार को दिल्ली के पुलिस कमिश्नर और ट्रांसपोर्ट कमिश्नर की बैठक बुलाई है. इस बैठक में राज्य चुनाव आयुक्त 15 मई को होने वाले चुनावों को लेकर
गाड़ियों की उपलब्धता
को लेकर पुलिस और सरकार से समाधान निकालने के लिए भी कहेंगे. चुनाव आयोग इन दोनों एजेंसियों को कह सकता है कि चूंकि चुनाव में अब दो हफ्ते का भी वक्त नहीं बचा है, ऐसे में इन गाड़ियों को बैन से रियायत दी जाए.",EXCLUSIVE: दिल्ली में डीजल टैक्सियों पर बैन से मुश्किल में पड़ा चुनाव आयोग,भारत की राजधानी दिल्ली में चुनावों के लिए टैक्सी ड्राइवरों की रोजी रोटी पर नई मुसीबत आ गई है.
1,"जॉर्डन के ऐतिहासिक दौरे पर पहुंचे राष्ट्रपति प्रणब मुखर्जी ने 86 करोड़ डॉलर की लागत से निर्मित भारत-जॉर्डन उवर्रक संयंत्र का जॉर्डन के शाह अब्दुल्ला (द्वितीय) इब्न अल हुसैन के साथ उद्घाटन किया. यह संयंत्र एक साल से कम समय में बनकर तैयार हुआ है.


राष्ट्रपति मुखर्जी के यहां एयर इंडिया की उड़ान से दोपहर पहुंचने के कुछ देर बाद ही शाह के महल से इस संयंत्र का रिमोट के जरिए उद्घाटन किया गया. अधिकारियों ने बताया कि भारतीय उर्वरक कंपनी इफको और जॉर्डन के फास्फेट्स माइन कंपनी ने इस संयंत्र के लिए 2008 में एक संयुक्त उद्यम कंपनी जॉर्डन इंडिया फर्टिलाइजर कंपनी बनाया. संयुक्त उद्यम में इफको की हिस्सेदारी 52 प्रतिशत है.


इस संयंत्र से प्रति वर्ष 450 करोड़ टन सल्फ्यूरिक एसिड और 150 करोड़ टन फास्फेरिक एसिड के उत्पादन का अनुमान है. राष्ट्रपति का इससे पहले यहां पारंपरिक स्वागत किया गया और राष्ट्रपति भवन के सामने उन्हें 21 तोपों की सलामी दी गई. इसके बाद वह शाह अब्दुल्ला (द्वितीय) इब्न अल हुसैन के साथ वार्ता में व्यस्त हो गए. वार्ता के बाद दोनों नेताओं ने इंडो-जर्मन उवर्रक संयंत्र का संयुक्त रूप से उद्घाटन किया. इस संयंत्र से कच्चे माल का उत्पादन किया जाएगा. इसमें फास्फोरिक एसिड और सल्फ्यूरिक एसिड प्रमुख हैं.


यहां पहुंचने से पहले राष्ट्रपति ने कहा, 'दोनों देशों के क्षेत्रीय एवं अंतर्राष्ट्रीय मुद्दे मिलते-जुलते हैं और दोनों सीरिया के साथ ही मध्य पूर्व में शांति प्रक्रिया का समर्थन करते हैं.' उन्होंने कहा कि दोनों देश उग्रवाद और आतंकवाद के सभी रूपों की निदा करते हैं और धार्मिक सौहार्द्र में भरोसा करते हैं. राष्ट्रपति के इस दौरे के दौरान व्यापार एवं निवेश पर भी जोर है. उन्होंने कहा कि दोनों देश द्विपक्षीय व्यापार को पांच अरब डॉलर करना चाहते हैं. अभी दोनों देशों के बीच व्यापार दो अरब डॉलर है.


प्रणब मुखर्जी ने जिस संयंत्र का उद्घाटन किया, उससे भारत 30 करोड़ टन फास्फोरिक एसिड का आयात करेगी. भारत बड़ी मात्रा में पोटाश एवं फास्फेट जॉर्डन से हासिल करता है. भारत और जॉर्डन ने 1947 में सामंजस्य के लिए द्विपक्षीय समझौते पर हस्ताक्षर किया था, हालांकि इसे औपचारिक रूप 1950 में दिया गया जब पूर्ण कूटनीकि संबंध दोनों देश के बीच बने. शाह अब्दुल्ला और बेगम रानिया ने अक्टूबर 2012 में भारत का दौरा किया था. राष्ट्रपति के इस दौरे से पूर्व करीब 30 साल पहले तत्कालीन प्रधानमंत्री राजीव गांधी ने इस देश का दौरा किया था.


इनपुट- IANS",जॉर्डन: राष्ट्रपति मुखर्जी ने 86 करोड़ डॉलर के संयंत्र का उद्घाटन किया,भारत के राष्ट्रपति प्रणब मुखर्जी ने जॉर्डन के शाह अब्दुल्ला (द्वितीय) इब्न अल हुसैन और उनकी पत्नी बेगम रानिया से बातचीत की है.
2,"पाकिस्तानी नेताओं को विवादित और हास्यास्पद बयान आए दिन सुर्खियां बंटोरते रहते हैं और कई बार तो पाकिस्तान के मंत्री तक भड़काऊ बयान देने से बाज नहीं आते. इस कड़ी में संयुक्त राष्ट्र में पाकिस्तान की प्रतिनिधि का नाम भी जुड़ गया है जिन्होंने ब्रिटेन के प्रधानमंत्री बोरिस जॉनसन को ब्रिटिश विदेश मंत्री बता दिया.
मलीहा लोधी ने एक फोटो ट्वीट की जिसमें पाकिस्तान प्रधानमंत्री इमरान खान और ब्रिटिश प्रधानमंत्री बोरिस जॉनसन की मुलाकात हो रही है. इस फोटो का कैप्शन लिखते वक्त लोधी से चूक हो गई और वह जॉनसन को ब्रिटेन का विदेश मंत्री लिख बैठीं. इसके कुछ देर बाद ही उन्हें अपनी गलती का अहसास हुआ और उन्होंने अपना ट्वीट डिलीट कर दिया.
मलीहा लोधी का ट्वीट
पाकिस्तान की राजदूत ने फिर से ट्वीट करते हुए अपने पुराने ट्वीट पर माफी मांगी और कहा कि टाइप करने में गलती हो गई. प्रधानमंत्री इमरान ने ब्रिटिश पीएम से मुलाकात की है.
Sorry typo in previous tweet. Prime Minister Imran Khan Met British PM this morning.
pic.twitter.com/Ufp9vz5Ent
— Maleeha Lodhi (@LodhiMaleeha)
September 23, 2019


बता दें कि पाकिस्तान के प्रधानमंत्री इमरान खान संयुक्त राष्ट्र महासभा के 74वें सत्र में हिस्सा लेने अमेरिका गए हुए हैं. यहां इमरान खान ने कई नेताओं से मुलाकात की और कश्मीर को लेकर बातचीत है. पाकिस्तान के प्रधानमंत्री सोमवार रात को राष्ट्रपति डोनाल्ड ट्रंप से मुलाकात करेंगे जहां वह ट्रंप से कश्मीर के मसले पर मध्यस्थता करने की गुहार फिर से लगाने वाले हैं.","UN में पाकिस्तान की राजदूत मलीहा लोधी ने कराई फजीहत, मांगनी पड़ी माफी",पाकिस्तान की राजदूत मलीहा लोधी ने ब्रिटेन के प्रधानमंत्री बोरिस जॉनसन से मुलाकात के बाद अपना ट्वीट डिलीट कर दिया है.
3,"पीएम नरेंद्र मोदी बायोपिक में विवेक ओबेरॉय ने प्रधानमंत्री नरेंद्र मोदी का किरदार निभाया है. जानकारी के अनुसार फिल्म भारत के अलावा कई देशों में रिलीज हो सकती है. प्रोड्यूसर और डिस्ट्रीब्यूटर आनंद पंडित ने बताया कि पीएम नरेंद्र मोदी बायोपिक की टीम फिल्म को 38 देशों में रिलीज करने का प्लान बना रही है. इसमें यूएस, यूके, कनाडा, ऑस्ट्रेलिया और यूएई जैसे देश शामिल हैं.
पिंकविला के अनुसार प्रोड्यूसर आनंद ने बताया कि पीएम नरेंद्र मोदी की लाइफ को लेकर देश ही नहीं विदेशों के ऑडियंस में ही गजब की रुचि है. इसलिए इसे इंडिया के अलावा 38 देशों में रिलीज करनी योजना है. उन्होंने कहा, भारत में यह फिल्म 1700 स्क्रीन पर रिलीज होगी. इसके अलावा इसे विदेशों में लगभग 600 स्क्रीन पर रिलीज करने की तैयारी की जा रही है.
मोदी बायोपिक को बैन करने की मांग पर आनंद पंडित ने कहा, ''फिल्म को लेकर कोई शक नहीं होना चाहिए. सभी जानते हैं कि ये फिल्म क्या है. यह बायोपिक एक सिनेमैटिक प्रोडक्ट है. जो लोग इस फिल्म को लेकर सवाल उठा रहे हैं और इस पर बैन लगाने की मांग कर रहे हैं. दरअसल, वे लोग अभिव्यक्ति की स्वतंत्रता को दबाना चाहते हैं. क्या यह पाखंड नहीं है कि जो लोग दूसरी फिल्मों को बैन करने की आलोचना करते हैं वे ही आज मोदी बायोपिक को बैन करने की मांग कर रहे हैं.''










View this post on Instagram


#PMNarendraModi #Promotions Outfit by: @antardesiofficial @manishtripathi14 Denims: @massimodutti Styled by: @vasundhara.joshi
A post shared by
Vivek Oberoi
(@vivekoberoi) on
Apr 3, 2019 at 12:46am PDT











View this post on Instagram


Thank you to each and every one of you for your blessings, love and support. Thank you to the Indian Judiciary. We hope you like the film and that it inspires you all! #PMNarendraModi 🙏 Jai Hind 🇮🇳 @omungkumar @officialsandipssingh @oberoi_suresh @anandpandit @tseries.official






A post shared by
Vivek Oberoi
(@vivekoberoi) on
Apr 5, 2019 at 7:15am PDT

हाल ही में निर्माताओं ने घोषणा की थी 11 अप्रैल को फिल्म रिलीज की जाएगी. इससे पहले फिल्म की रिलीज अब तक दो बार टल चुकी थी. पहले फिल्म को 12 अप्रैल को रिलीज किया जाना था. फिर इसकी रिलीज की तारीख बदलकर 5 अप्रैल कर दिया गया.
फिल्म के मेकर्स ने कहा था कि 17 अप्रैल को रिलीज होने जा रही फिल्म कलंक एक अच्छी फिल्म है, ऐसे में इस फिल्म के साथ टकराव को कम करने के लिए फिल्म की रिलीज डेट 5 अप्रैल की गई थी. फिल्म को हिंदी के अलावा तेलुगू और तमिल भाषा में भी रिलीज किया जाएगा. फिल्म में विवेक ओबेरॉय के अलावा मनोज जोशी, बोमन ईरानी, दर्शन कुमार, राजेंद्र गुप्ता जैसे एक्टर्स अहम किरदार निभाते हुए नजर आएंगे.",38 देशों में पीएम नरेंद्र मोदी बायोपिक को रिलीज करने का है प्लान,पीएम नरेंद्र मोदी बायोपिक की रिलीज तारीख 5 अप्रैल को होने जा रही है.
4,"देश, दुनिया, महानगर, खेल, आर्थिक और बॉलीवुड में क्‍या कुछ हुआ... जानने के लिए यहां पढ़ें समय के साथ साथ खबरों का लाइव अपडेशन.

10:12 PM:
शांति भूषण ने कहा, दिल्‍ली पुलिस की सभी 22 शर्तें मंजूर नहीं.

9:05 PM:
75 फीसदी लोग चाहते हैं, पीएम लोकपाल के दायरे में हों: आजतक-ओआरजी सर्वे

8:52 PM:
मुंबई: 9 भारतीय नाविकों समेत 21 नाविकों को समुद्री लुटेरों ने किया रिहा.

8:40 PM:
नस्लवादी टिप्पणी करने वाली अमेरिकी राजनयिक को हटाने की भाकपा की मांग.

7:41 PM:
भारत तीसरा टेस्‍ट एक पारी और 242 रन से हारा, धोनी नाबाद 74 रन.

7:02 PM:
अन्ना हजारे के समर्थन में तिरुवनंतपुरम में भी 16 अगस्त से अनशन.

5:55 PM:
किरण बेदी ने कहा, दिल्‍ली पुलिस की शर्तों के पीछे कोई और है.

5:50 PM:
अनशन होकर रहेगा, देश कुर्बानी मांग रहा है: अन्‍ना हजारे.

5:35 PM:
शांति भूषण ने कहा, तानाशाही के आगे नहीं झुकेंगे.

4:55 PM:
अन्ना ने प्रधानमंत्री को लिखा पत्र, सरकार पर लोकतंत्र का गला घोंटने का लगाया आरोप.

2:40 PM:
दिल्‍ली-कानपुर रेल लाइन ठप, ट्रैक ठीक करने वाली गाड़ी के डिब्‍बे पटरी से उतरे.

1:40 PM:
प्रशांत भूषण ने कहा, संविधान के खिलाफ है सशर्त मंजूरी.

12:40 PM:
दिल्‍ली पुलिस ने अन्‍ना के अनशन को लिखित मंजूरी दी.

11:56 AM:
अन्‍ना के अनशन को दिल्‍ली पुलिस 3 दिन के लिए मंजूरी देने को तैयार.

11:39 AM:
गुजरात सरकार के प्रवक्‍ता जयनारायण व्‍यास ने कहा, आईपीएस राहुल शर्मा ने सेवा शर्तों का उल्‍लंघन किया.

11:05 AM:
सीपीडब्ल्यूडी दो दिन, दिल्ली पुलिस तीन दिन के अनशन की अनुमति पर राजी: हजारे पक्ष.

10:35 AM:
पठानकोट-जोगेंद्रनगर ट्रेन रुट बाधित, भारी बारिश की वजह से पुल ढहा.

10:15 AM:
अन्ना हजारे के समर्थन में संयुक्त राष्ट्र के बाहर भारतीयों का प्रदर्शन.

09:35 AM:
लुधियाना: किले की दीवार गिरी, 2 लोगों की मौत और 4 घायल.

09:15 AM:
भर्ती घोटाले में कर्नाटक लोकसेवा आयोग के पूर्व अध्यक्ष के खिलाफ प्राथमिकी.

08:55 AM:
संतोष शेट्टी ने कहा, उसने नवंबर 2010 में की नेपाली की थाइलैंड में हत्या: पुलिस

08:45 AM:
पुणे: भारतीय किसान संघ ने कहा, किसानों की गिरफ्तारी बंद करो या प्रदर्शनों का सामना करने के लिए तैयार रहो.

08:10 AM:
आंध्र प्रदेश उच्च न्यायालय ने आज राज्य में दो मामलों के सिलसिले में कोबाड गांधी सहित प्रतिबंधित माकपा (माओवादी) के तीन शीर्ष नेताओं को आज जमानत दे दी.

07:25 AM:
दिल्ली पुलिस के समक्ष उपस्थित हुए टीआरएस प्रमुख के बेटे समेत पार्टी के चार नेता.",13 अगस्त 2011: दिनभर की बड़ी खबरें पढ़ें,अन्ना हजारे ने 16 अगस्त से दिल्ली में अनशन शुरू कर दिया है. उनके समर्थन में दिल्ली पुलिस ने तीन दिन के लिए अपनी सेवा शर्तों का उल् लंघन किया.
5,"पाकिस्तान के तेज गेंदबाज
हसन अली
ने कहा कि
एशिया कप
में दबाव चिर प्रतिद्वंद्वी
भारत
पर होगा, क्योंकि पिछले साल उसे चैंपियंस लीग के फाइनल में उनसे हार का सामना करना पड़ा था.
पिछले साल
चैंपियंस ट्रॉफी
के फाइनल के बाद भारत और
पाकिस्तान
की टीमें एक-दूसरे के आमने सामने होंगी. फाइनल में हसन ने तीन विकेट झटके थे, जिससे पाकिस्तान की टीम 180 रनों से जीतने में सफल रही थी.
एशिया कपः फखर ने माना- भारत-PAK मैच में दबाव बढ़ जाता है
पाकिस्तान एशिया कप में दो बार भारत से भिड़ेगा और अगर दोनों टीमें फाइनल में पहुंचती हैं, तो दोनों के बीच तीन बार भिड़ंत होगी. हसन ने कहा, ‘हम अभी अपने शीर्ष पर हैं. वे (भारत) पिछली हार के बाद दबाव में होंगे.’
उन्होंने कहा, ‘संयुक्त अरब अमीरात में परिस्थितियां हमारे अनुकूल हैं, हमें घरेलू स्थितियों का फायदा मिलेगा क्योंकि हम यहां लंबे समय से खेल रहे हैं और हम जानते हैं कि यहां के हालात का इस्तेमाल कैसे किया जाए.’
हसन को इस बात की निराशा है कि विराट कोहली एशिया कप में नहीं खेल रहे हैं. हसन ने कहा, 'एक युवा खिलाड़ी के तौर पर हर कोई कोहली का विकेट लेना चाहता है. दुर्भाग्य की बात है कि वह एशिया कप में नहीं खेल रहे हैं. अगली बार जब हम प्रतिस्पर्धा करेंगे, तो निश्चित तौर पर मैं उनका विकेट लेना चाहूंगा.'",एशिया कप से पहले बोला PAK बॉलर- हार के बाद अब भारत दबाव में होगा,पाकिस्तान के तेज गेंदबाज़ हसन अली का कहना है कि एशिया कप में भारत की टीम दबाव में होगी.
6,"जाट आंदोलन के बढ़ने की आशंका के बीच हरियाणा की खट्टर सरकार ने केंद्रीय गृह मंत्रालय से 56 कंपनी अर्ध सैनिक बल की मांग की है, जबकि राज्य में अर्ध सैनिक बलों की 37 कंपनियां पहले से मौजूद हैं.
उधर पानीपत में हुई बैठक का अधिकारियों ने राज्य की कैबिनेट में विवरण दिया है. कैबिनेट ने जाटों की तमाम मांगों को संजीदगी से सुना है और जाटों एवं अधिकारियों की कमेटी की दूसरी बैठक जल्द ही हो सकती है. राज्य के सीएम मनोहर लाल खट्टर ने राज्य के सचिव गृह ,आईजी ,सीआईडी के अधिकारी, मुख्य सचिव की पांच सदस्य कमेटी के साथ जाट आरक्षण को लेकर हुई बैठक की भी जानकारी ली.
हरियाणा में आंदोलनकारी जाटों से बातचीत करने के लिए सरकार द्वारा गठित 5 सदस्यीय समिति ने मंगलवार को अपनी रिपोर्ट हरियाणा सरकार को सौंप दी है. मुख्यमंत्री ने बताया कि समिति की सिफारिशों का अध्ययन करने बाद ही उचित निर्णय किया जाएगा.
आपको बता दें कि हरियाणा के नौ जिलों में पिछले कई दिन से सरकारी नौकरियों में जाटों को आरक्षण दिए जाने की मांग को लेकर धरने पर बैठे आंदोलनकारियों ने सरकार की नाक में दम कर रखा है. पिछले साल हरियाणा में हुए जाट आरक्षण में कई जिलों में हिंसा का जो तांडव हुआ उससे शांतिप्रिय हरियाणा की छवि देश-विदेश में धूमिल हुई. हिंसा पर उतरे आंदोलनकारियों ने आगजनी की घटनाओं को अंजाम दिया था, जिसमें राज्य के कैबिनेट मंत्री कैप्टन अभिमन्यु के रोहतक स्थित आवास को भी आग के हवाले कर दिया था.
उस आंदोलन के दौरान करीब 31 लोगों की जान गई थी. महिलाओं के साथ रेप के आरोप भी लगे थे. हिंसक आंदोलन की जांच-पड़ताल के लिए सरकार ने प्रकाश सिंह आयोग का गठन किया था जिसने अपनी रिपोर्ट में कई अफसरों को सीधे तौर पर दोषी ठहराया था. रिपोर्ट के पहले हिस्से को सरकार ने सार्वजनिक किया और कुछ अफसरों पर कार्रवाई भी हुई.",जाट आंदोलन: हरियाणा ने केंद्र से मांगी अर्ध सैनिक बल की 56 कंपनियां,हरियाणा में सरकारी नौकरियों में जाटों को आरक्षण दिए जाने की मांग को लेकर आंदोलनकारियों और सरकार के अधिकारियों की बैठक हुई है.
7,"महाराष्ट्र के अहमदनगर एमआईडीसी में फोर्ट शोरूम के मालिक भूषण बिहानी को पांच करोड़ रुपये की फिरौती मांगना, धमकी देना और अपहरण के मामले में बीजेपी सांसद दिलीप गांधी, बेटा सुवेंद्र गांधी सहित दो लोगों पर एमआईडीसी पुलिस थाने में मामला दर्ज किया गया है.
फोर्ट शोरूम
के मालिक ने बताया कि सांसद के बेटे ने शोरूम से पुरानी गाड़ी खरीदी और उसमें भी पांच लाख रुपये डिस्काउंट देने की बात की. शो रूम मालिक ने पांच लाख रुपये डिस्काउंट दे दिया, लेकिन इस पूरी खरीददारी का पूरा पेंच सामने आते ही मामला बढ़ गया.
दरअसल सांसद दिलीप गांधी से उनका बेटा पूरे पैसे लेकर गाड़ी खरीदने गया, लेकिन बेटे ने बीच में पांच लाख रुपये गायब करने की कोशिश की. जब सांसद को पता चला तो दोनों में कहासुनी हो गई.
इस बात से गुस्साए सांसद के बेटे ने अपने गुंडों के साथ शोरूम जाकर मालिक भूषण बिहानी का अपहरण कर लिया और उन्हें सुनसान जगह ले गया, जहां उसने बियानी के सिर पर बंदूक तान लाखों रुपये अपने अकाउंट में ट्रांसफर करवा लिए. साथ ही शो रूम मालिक को जान से मारने की धमकी दी और यह बात किसी से ना कहने की हिदायत दी.
धमकी के चलते परेशान शोरूम मालिक भूषण बिहानी ने कई बार लाखों की फिरौती दी थी, लेकिन बात हद से बाहर जाने के बाद उन्होंने पुलिस से शिकायत दर्ज कराई.","शोरूम मालिक से 5 करोड़ की फिरौती मांगा, BJP सांसद-बेटे के खिलाफ केस दर्ज",महाराष्ट्र के अहमदनगर में एक फोर्ट शोरूम के मालिक को पांच करोड़ रुपये की फिरौती देने के मामले में दो लोगों पर मामला दर्ज किया गया है.
8,"भारतीय अंतरिक्ष अनुसंधान संगठन (ISRO) के चंद्रयान-2 मिशन की तैयारी जोर-शोर से चल रही है. 14 और 15 जुलाई की रात 2 बजे चंद्रयान-2 लॉन्च करेगा. इस लॉन्च को आमलोग देख सकें इसके लिए ISRO ने ऑनलाइल रजिस्ट्रेशन की व्यवस्था की है. इसरो ने ट्वीट करके जानकारी दी है कि 3 और 4 जुलाई 2019 की मध्यरात्रि 12 बजे से इसरो अपनी वेबसाइट पर ऑनलाइन रजिस्ट्रेशन शुरू करेगा.
फिलहाल, श्रीहरिकोटा में सतीश धवन स्पेस पोर्ट चंद्रयान-2 को तैयार किया जा रहा है. मंगलवार को चंद्रयान-2 की रेडियो फ्रिक्वेंसी जांची गई. इक्विमेंट-बे कैमरा लगाया गया. साथ ही सभी पेलोड्स के एसेंबलिंग की जांच की गई. इससे पहले, 14 जून को यूआर राव सैटेलाइट सेंटर (URSC) बेंगलुरु से चंद्रयान-2 के ऑर्बिटर को श्रीहरिकोटा स्थित सतीश धवन स्पेस सेंटर के लिए रवाना किया गया था. ऑर्बिटर 15 जून को श्रीहरिकोटा लॉन्च पोर्ट पहुंचा.
🇮🇳
#ISROMissions
🇮🇳
#Chandrayaan2
#GSLV
Online registration process for witnessing the forthcoming GSLV  MKIII-M1 / Chandrayaan-2 mission will commence @ 00:00 hrs on July 4th 2019
— ISRO (@isro)
July 2, 2019
इसरो का दूसरा चंद्र मिशन चंद्रमा के दक्षिणी ध्रुव पर मौजूद 2 क्रेटर मैंजिनस सी और सिंपेलिनस एन के बीच मौजूद मैदानी इलाके में उतरेगा. अभी तक इस इलाके में किसी भी देश ने अपना चंद्र मिशन नहीं किया है. दक्षिणी ध्रुव का चुनाव इसलिए किया गया है क्योंकि वहां ज्यादातर हिस्सा अंधेरे में रहता है. अंधेरे में रहने के कारण वहां पानी होने की संभावना ज्यादा है. इसके साथ ही चांद के दक्षिणी ध्रुव के क्रेटर हैं जो बेहद ठंडे हैं. यहां सोलर सिस्टम के पुराने जीवाश्म मिलने की भी संभावना है.






जानिए...चांद पर क्या और कैसे काम करेगा चंद्रयान-2
ऑर्बिटरः चांद से 100 किमी ऊपर इसरो का मोबाइल कमांड सेंटर
चंद्रयान-2 का ऑर्बिटर चांद से 100 किमी ऊपर चक्कर लगाते हुए लैंडर और रोवर से प्राप्त जानकारी को इसरो सेंटर पर भेजेगा. इसमें 8 पेलोड हैं. साथ ही इसरो से भेजे गए कमांड को लैंडर और रोवर तक पहुंचाएगा. इसे हिंदुस्तान एयरोनॉटिक्स लिमिटेड ने बनाकर 2015 में ही इसरो को सौंप दिया था.
विक्रम लैंडरः रूस के मना करने पर इसरो ने बनाया स्वदेशी लैंडर
लैंडर का नाम इसरो के संस्थापक और भारतीय अंतरिक्ष कार्यक्रम के जनक विक्रम साराभाई के नाम पर रखा गया है. इसमें 4 पेलोड हैं. यह 15 दिनों तक वैज्ञानिक प्रयोग करेगा. इसकी शुरुआती डिजाइन इसरो के स्पेस एप्लीकेशन सेंटर अहमदाबाद ने बनाया था. बाद में इसे बेंगलुरु के यूआरएससी ने विकसित किया.
प्रज्ञान रोवरः इस रोबोट के कंधे पर पूरा मिशन, 15 मिनट में मिलेगा डाटा
27 किलो के इस रोबोट पर ही पूरे मिशन की जिम्मेदारी है. इसमें 2 पेलोड हैं. चांद की सतह पर यह करीब 400 मीटर की दूरी तय करेगा. इस दौरान यह विभिन्न वैज्ञानिक प्रयोग करेगा. फिर चांद से प्राप्त जानकारी को विक्रम लैंडर पर भेजेगा. लैंडर वहां से ऑर्बिटर को डाटा भेजेगा. फिर ऑर्बिटर उसे इसरो सेंटर पर भेजेगा. इस पूरी प्रक्रिया में करीब 15 मिनट लगेंगे. यानी प्रज्ञान से भेजी गई जानकारी धरती तक आने में 15 मिनट लगेंगे.
सबसे ताकतवर रॉकेट जीएसएलवी मार्क-3 से होगी लॉन्चिंग
चंद्रयान-2 इसरो के सबसे ताकतवर रॉकेट जीएसएलवी मार्क-3 से पृथ्वी की कक्षा के बाहर छोड़ा जाएगा. फिर उसे चांद की कक्षा में पहुंचाया जाएगा. करीब 55 दिन बाद चंद्रयान-2 चांद की कक्षा में पहुंचेगा. फिर लैंडर चांद की सतह पर उतरेगा. इसके बाद रोवर उसमें से निकलकर विभिन्न प्रयोग करेगा. चांद की सतह, वातावरण और मिट्टी की जांच करेगा. वहीं, ऑर्बिटर चंद्रमा के चारों तरफ चक्कर लगाते हुए लैंडर और रोवर पर नजर रखेगा. साथ ही, रोवर से मिली जानकारी को इसरो सेंटर भेजेगा.",चंद्रयान-2 की लॉन्चिंग लाइव देखना है तो यहां करें ऑनलाइन रजिस्ट्रेशन,भारतीय अंतरिक्ष अनुसंधान संगठन (ISRO) के चंद्रयान-2 मिशन की तैयारी जोर-शोर से चल रही है.
9,"आपने शानदार पार्टी के साथ 2019 का आगाज तो कर लिया है और अभी ऐसे कई मौके आएंगे, जब भी आपको पार्टी करनी होगी. लेकिन, इस साल कई ऐसे दिन भी आएंगे, जब शराब की दुकानें बंद रहेंगी, जिसके ड्राई डे कहा जाता है. अगर आपको इन ड्राई डे के बारे में बता होगा, तो आप पार्टी की तैयारी पहले से ही कर लेंगे. जानते हैं इस साल कब कब ड्राई-डे होगा...
26 जनवरी- गुरु रविदास जयंती (दिल्ली) और गणतंत्र दिवस
30 जनवरी- महात्मा गांधी की पुण्यतिथि (महाराष्ट्र, केरल, राजस्थान और अंडमान और निकोबार द्वीप समूह)
10 फरवरी- स्वामी दयानंद सरस्वती जयंती
Calendar 2019: जानें- अगले साल कब-कब बंद रहेंगे स्कूल?
4 मार्च- महाशिवरात्रि
4 मार्च- छत्रपति शिवाजी महाराज जयंती (महाराष्ट्र)
21 मार्च- होली
14 अप्रैल- राम नवमी
17 अप्रैल- महावीर जयंती
19 अप्रैल - गुड फ्राइडे
Welcome 2019: इस साल इन दिन बंद रहेंगे स्कूल!
12 मई- बुद्ध पूर्णिमा
4 जून-5 जून- ईद-उल-फ़ितर
11 अगस्त- ईद
15 अगस्त- स्वतंत्रता दिवस
24 अगस्त- जन्माष्टमी
28 सितंबर- मुहर्रम
2 अक्टूबर- गांधी जयंती
8 अक्टूबर- दशहरा
13 अक्टूबर- वाल्मीकि जयंती
27 अक्टूबर- दिवाली
9-10 नवंबर- ईद-उल-मिलाद
23 नवंबर- गुरु नानक जंयती
24 नवंबर- गुरु तेग बहादुर बलिदान दिवस","Dry Day List 2019: जानें- इस साल कब-कब होंगे ड्राई-डे, देखें- लिस्ट","अगर आपको 2019 के लिए पार्टी करनी होगी, तो आपने कई ऐसे मौके भी देखा होगा, जब शराब की दुकानें बंद रहेंगी."
