,Original_sentence,translated_sentence,predicted_summaries
0,['अनुसंधानकर्ताओं को चाहिए कि वे किसी प्रकार का खतरा न उठाएं चाहे वह कितना भी छोटा क़्यों न हो.उनके कई साथी प्रयोगशाला में काम करते समय लापरवाही से काम करते हैं.'],"वे इस खतरे को नहीं लेना चाहेंगे, खासकर इसलिए कि उनके साथियों में से ज़्यादातर लोगों ने अपने आप को सीधे - सीधे और लापरवाह तरीके से दिखाया है ।",ब्रिटेन के राष्ट्रपति डोनल्ड ट्रंप अपने साथियों के बारे में बहुत कुछ कहने वाले हैं.
1,['कुछ प्रकार के शस्त्रक्रिया में शामिल है शरीर का कोई अवयव या भाग निकालना ( जैसे कि गाल ब्लॅडर या एक दात ).'],कुछ तरह के ऑपरेशन में शरीर-LBB-B के एक हिस्से को हटा देना शामिल है जैसे कि कि एक विषी बोरर या एक दांत - RBB-b.,कोरोना वायरस के संक्रमण से निपटने के लिए कई तरह के ऑपरेशन किए जा रहे हैं.
2,"['इसके मुख़्य लक्षण तो हैं : तापमान का बढ़ जाना, फुंसियों का प्रकट होना और बाद में फफोले बनना.ये फफोले और फुंसियां आमतौर पर जंघाओं की भीतरी सतह, अयन और थनों पर और दुम के निचले भाग पर होती हैं.']","इसके मुख्य लक्षण तापमान में उठते हैं, और वुल्फिसियों के बाद, आम तौर पर छाती की आंतरिक सतह पर, चाय के नीचे और पूँछ के नीचे ।",दुनिया भर में वुल्फिसियों का प्रचलन होता है और इसकी वजह से छाती की सतह पर भी नुकसान पड़ा है.
3,['ऐसी स्थिति में उनका सामुदायिक विकास कार्यक्रम स्वावलंबन और आत्मबोध के दोहरे सिद्धांत पर आधारित था.'],उसका समुदाय विकास का कार्यक्रम इसलिए स्व-help और प्रबोधन के अप्रयोग सिद्धांतों पर आधारित था.,दक्षिण अफ्रीका की राजधानी ढाका में रहने वाले डॉनल्ड ट्रंप ने अपने समुदाय का विकास किया है.
4,"[""यह बात सर जिओफ्रे दि मोंटमोरंसी नाम के एक मशहूर ब्रिटिश लेखक ने अपनी किताब'दि इंडियन स्टेट्स एंड इंडियन फेडरेशन'( 1942 ) में जोर देकर कही हैं.""]",इस तथ्य पर हाल ही में एक ब्रिटिश अधिकारी ने ज़ोर दिया है।,ब्रिटेन में सैकड़ों लोगों की मौत हो गई है. उन्हें कई बार हत्या कर दिया गया है।
5,"['समय समय पर तथा विशिष्ट अवसरों पर, संसद ग्रंथालय रुचि के विषयों पर पुस्तक प्रदर्शनियों का आयोजन करता है.']","समय - समय पर, और विशिष्ट अवसरों पर, संसद पुस्तकालय दिलचस्पी के प्रसंगों पर पुस्तक संग्रहित करता है ।",भारत के संसद पुस्तकालय ने अपने पाठकों को दिलचस्पी के प्रसंगों पर लिखा दिया है ।
6,"['अजनबी होते हुए भी वे उस पर विश्वास करते हैं, और अपने बिस्तर लगाकर सो जाते हैं और दूर सुबह का सपना देखते हैं.?']","फिर भी वे उस अन्धे हाथ पर भरोसा करते हैं; वे उसे नहीं जानते; वे उस पर भरोसा रखते हैं, और अपने बिछौने, नींद और भोर को स्वप्न बताते हैं । ”","हमारे पास एक अन्धे हाथ है, जिस पर भरोसा रखने के लिए वे तैयार हैं ।"
7,['108 जापानियों को युद्ध के अपराधियों के रूप में हिरासत में लिया गया तथा उन्हें रौस द्वीप में रखा गया तथा बाद में चांगी जेल सिंगापुर में मुकदमे की सुनवाई के इंतजार में डाल दिया गया.'],"एक सौ आठ जापानी को युद्ध के अपराधी के तौर पर हिरासत में ले लिया गया और रॉस द्वीप पर हमें भोजन दिया गया, और बाद में सिंगापुर में चाप्टी जेल में उनके परीक्षण का इंतज़ार करने के लिए भेज दिया गया ।",जापान में युद्ध के दौरान जापानी सैनिकों को पकड़ा गया और उन्हें सिंगापुर के रॉस द्वीप पर भेज दिया गए.
8,"['भारत की योजनाओं के अनुसार, अंदमान-निकोबार कमान के पहले कमांड़र नौसेना मुयालय के एक वाइस-एड़मिरल होंगे.']","भारतीय योजनाओं के अनुसार, पहले Adadde कमांडर Nontagartads से एक दुर्गुण - प्रधान होगा.",भारत में पहली बार किसी कमांडर ने अपना नाम बदल दिया है और उसके बाद वो अपने पति के साथ काम करेंगे.
9,['राजपाल अपना समय दिल्ली नगर निगम के अस्पतालं और जौहरी की शूटिंग रेंज में व्यतीत करते हैं.'],"राजपाल अपने काम के बीच, दिल्ली के भंडारी निगमों में और योज़ेरी में शूटिंग सीमा पर समय अलग करता है ।",राजपाल सिंह ने अपने तीन साल की शूटिंग सीमा पर काम किया है और इसके साथ ही उन्होंने अपना काम पूरा कर लिया है.
